Id,Label,Station Id,Latitude,Longitude,Capacity,PhysicalConfiguration,PostalCode,PostalCodeArea,Name
Charles St W / Balmuto St - SMART,Charles St W / Balmuto St - SMART,7281,43.668427,-79.38725,20,SMARTMAPFRAME,NULL,NULL,Charles St W / Balmuto St - SMART
King St W / Charlotte St,King St W / Charlotte St,7324,43.645572,-79.39399,23,REGULAR,NULL,NULL,King St W / Charlotte St (West Side)
Wellington St W / York St,Wellington St W / York St,7469,43.646734,-79.38301,23,REGULAR,M5J 2R2,M5J,Wellington St W / York St
Temperance St / Bay St,Temperance St / Bay St,7713,43.6506,-79.381285,22,REGULAR,M5H 2V6,M5H,NULL
Soho St / Queen St W,Soho St / Queen St W,7217,43.6494896,-79.393535,7,REGULAR,NULL,NULL,Soho St / Queen St W
King St E / Victoria St,King St E / Victoria St,7333,43.6495789,-79.3762096,19,REGULAR,NULL,NULL,King St E / Victoria St
Lower Simcoe St / Bremner Blvd,Lower Simcoe St / Bremner Blvd,7467,43.64283,-79.38409,14,REGULAR,M5J 3A6,M5J,Lower Simcoe St / Bremner Blvd
Central Tech  (Harbord St),Central Tech  (Harbord St),7191,43.661975,-79.407896,11,REGULAR,NULL,NULL,Central Tech  (Harbord St)
Bathurst St / Lennox St,Bathurst St / Lennox St,7155,43.663808,-79.410491,19,REGULAR,NULL,NULL,Bathurst St / Lennox St
King St W / Joe Shuster Way,King St W / Joe Shuster Way,7148,43.639444,-79.423611,15,REGULAR,NULL,NULL,King St W / Joe Shuster Way
Ontario Place Blvd / Lake Shore Blvd W,Ontario Place Blvd / Lake Shore Blvd W,7171,43.6322445,-79.4108105,27,REGULAR,NULL,NULL,Ontario Place Blvd / Lake Shore Blvd W (East)
Bay St / St. Joseph St,Bay St / St. Joseph St,7026,43.665527,-79.387499,15,REGULAR,NULL,NULL,Bay St / St. Joseph St
Edward St / Yonge St,Edward St / Yonge St,7041,43.656729,-79.382736,23,REGULAR,NULL,NULL,Edward St / Yonge St
University Ave / Richmond St W,University Ave / Richmond St W,7646,43.6503935,-79.3860211,27,REGULAR,M5H 4G1,M5H,University Ave / Richmond St W
Yonge St / St Clair Ave,Yonge St / St Clair Ave,7642,43.6885046,-79.3940052,19,REGULAR,M4T 1Z2,M4T,Yonge St / St Clair Ave
College Park - Yonge St Entrance,College Park - Yonge St Entrance,7418,43.65988,-79.38279,25,REGULAR,M5B 2H4,M5B,College Park - Yonge St Entrance
King St W / Portland St,King St W / Portland St,7720,43.644395,-79.4006543,16,SMARTMAPFRAME,M5V 1M6,M5V,NULL
Baldwin St / Henry St,Baldwin St / Henry St,7545,43.6560758,-79.393259,15,REGULAR,M5T 1L2,M5T,Baldwin St / Henry St
Front St E / Scott St,Front St E / Scott St,7375,43.6476616,-79.37549,10,REGULAR,NULL,NULL,Front St E / Scott St
Euclid Ave / Bloor St W,Euclid Ave / Bloor St W,7040,43.664467,-79.414783,19,REGULAR,NULL,NULL,Euclid Ave / Bloor St W
King St W / Stafford St,King St W / Stafford St,7158,43.6422222,-79.41111111,15,REGULAR,NULL,NULL,King St W / Stafford St
Bathurst St / Fort York Blvd,Bathurst St / Fort York Blvd,7176,43.639179,-79.399595,19,REGULAR,NULL,NULL,Bathurst St / Fort York Blvd
Bathurst St / Adelaide St W,Bathurst St / Adelaide St W,7298,43.645324,-79.40345,25,REGULAR,NULL,NULL,Bathurst St / Adelaide St W
11 Spadina Rd,11 Spadina Rd,7710,43.6677246,-79.4041365,18,ELECTRICBIKESTATION,M5R2S9,M5R,NULL
Queen St W / John St,Queen St W / John St,7542,43.650077,-79.391291,23,REGULAR,M5V 1Z8,M5V,Queen St W / John St
Bartlett Parkette,Bartlett Parkette,7526,43.6702236,-79.4360232,23,REGULAR,M6H 2B8,M6H,Bartlett Parkette
Bloor St W / Huron St,Bloor St W / Huron St,7419,43.667023,-79.401805,27,REGULAR,M5S 2R7,M5S,Bloor St W / Huron St
King St E / Church St,King St E / Church St,7074,43.6500392,-79.3733541,15,REGULAR,M5C 1G6,M5C,King St E / Church St
519 Church St,519 Church St,7241,43.666874,-79.381155,12,SMARTMAPFRAME,M4Y 2C9,M4Y,519 Church St - SMART
Bay St / Wellesley St W,Bay St / Wellesley St W,7030,43.664088,-79.387095,51,REGULAR,NULL,NULL,Bay St / Wellesley St W
St. Andrew's Playground Park,St. Andrew's Playground Park,7718,43.646552,-79.399586,11,REGULAR,M5V 2M5,M5V,NULL
Granby St / Church St - SMART,Granby St / Church St - SMART,7292,43.6614605,-79.3789457,24,SMARTMAPFRAME,M5B 1J1,M5B,Granby St / Church St - SMART
Walton St / Elizabeth St - SMART,Walton St / Elizabeth St - SMART,7263,43.657838,-79.38631,20,SMARTMAPFRAME,M8Z4T4,M8Z,Walton St / Elizabeth St - SMART
Dalton Rd / Bloor St W,Dalton Rd / Bloor St W,7061,43.6662942,-79.4066433,15,REGULAR,M6G1A1,M6G,Dalton Rd / Bloor St W
Riverdale Park North (Broadview Ave),Riverdale Park North (Broadview Ave),7097,43.671172,-79.354704,15,REGULAR,NULL,NULL,Riverdale Park North (Broadview Ave)
Ted Rogers Way / Bloor St E,Ted Rogers Way / Bloor St E,7025,43.671293,-79.380471,23,REGULAR,NULL,NULL,Ted Rogers Way / Bloor St E
Huron St / Harbord St,Huron St / Harbord St,7058,43.6637,-79.400053,19,REGULAR,NULL,NULL,Huron/ Harbord St
D'Arcy St / McCaul St - SMART,D'Arcy St / McCaul St - SMART,7386,43.655227,-79.39201,15,SMARTMAPFRAME,NULL,NULL,D'Arcy St. /McCaul St. SMART
Wellesley Station Green P,Wellesley Station Green P,7001,43.66496416,-79.38355032,26,ELECTRICBIKESTATION,M4Y 1G7,M4Y,Wellesley Station Green P
College St / Major St,College St / Major St,7078,43.6576,-79.4032,15,REGULAR,NULL,NULL,College St / Major St
King St W / Spadina Ave,King St W / Spadina Ave,7010,43.645323,-79.395003,19,REGULAR,NULL,NULL,King St W / Spadina Ave
Bay St / College St (East Side),Bay St / College St (East Side),7006,43.660439,-79.385525,19,REGULAR,NULL,NULL,Bay St / College St (East Side)
Gould St / Yonge St (Ryerson University),Gould St / Yonge St (Ryerson University),7164,43.657424,-79.381019,22,REGULAR,NULL,NULL,Gould St / Yonge St (Ryerson University)
St. George St / Bloor St W,St. George St / Bloor St W,7002,43.667333,-79.399429,19,REGULAR,NULL,NULL,St. George St / Bloor St W
Queen St W / Ossington Ave,Queen St W / Ossington Ave,7035,43.643975,-79.419576,23,REGULAR,NULL,NULL,Queen St W / Ossington Ave
Jarvis St / Maitland Pl,Jarvis St / Maitland Pl,7453,43.6647688,-79.3772602,17,REGULAR,M4Y 2G8,M4Y,Jarvis St / Maitland Pl
Rogers Rd / Prospect Cemetery,Rogers Rd / Prospect Cemetery,7744,43.68323,-79.455765,23,VAULT,M6E 4L1,M6E,NULL
Mutual St / Shuter St (Arena Gardens),Mutual St / Shuter St (Arena Gardens),7693,43.6559476,-79.3755883,19,REGULAR,M5B 2A9,M5B,NULL
Richmond St E / Yonge St,Richmond St E / Yonge St,7462,43.651838,-79.378743,17,REGULAR,M5C 1X7,M5C,Richmond St E / Yonge St
Elizabeth St / Edward St (Bus Terminal),Elizabeth St / Edward St (Bus Terminal),7012,43.656026,-79.385327,15,REGULAR,NULL,NULL,Elizabeth St / Edward St (Bus Terminal)
Dundas St E / Victoria St,Dundas St E / Victoria St,7472,0,0,0,NULL,NULL,NULL,Dundas St E / Victoria St
Walter Saunders Park,Walter Saunders Park,7754,43.69932707,-79.44936304,15,VAULT,M6E 2S5,M6E,NULL
St Joseph St / Bay St - SMART,St Joseph St / Bay St - SMART,7548,43.6658804,-79.3876101,20,SMARTMAPFRAME,M5S 3A5,M5S,St Joseph St / Bay St - SMART
Spadina Ave / Harbord St - SMART,Spadina Ave / Harbord St - SMART,7285,43.6629228,-79.4018451,36,SMARTMAPFRAME,NULL,NULL,Spadina Ave / Harbord St - SMART
Sherbourne St / Isabella St,Sherbourne St / Isabella St,7311,43.669576,-79.375961,19,REGULAR,NULL,NULL,Sherbourne St / Isabella St
Sherbourne St / Carlton St (Allan Gardens),Sherbourne St / Carlton St (Allan Gardens),7014,43.663102,-79.373181,17,REGULAR,NULL,NULL,Sherbourne St / Carlton St (Allan Gardens)
Bloor St W / Balmuto St,Bloor St W / Balmuto St,7276,43.669903,-79.387802,0,REGULAR,NULL,NULL,Bloor St W / Balmuto St
Wolseley St / Augusta Ave,Wolseley St / Augusta Ave,7719,43.6484201,-79.4005192,28,REGULAR,M5T 2M4,M5T,NULL
St. George St / Hoskin Ave,St. George St / Hoskin Ave,7190,43.6637403,-79.3980645,15,REGULAR,M5S 2E5,M5S,St. George St / Hoskin Ave
Spadina Ave / Sussex Ave - SMART,Spadina Ave / Sussex Ave - SMART,7667,43.664028,-79.4029787,35,REGULAR,M5S 2H8,M5S,Spadina Ave / Sussex Ave - SMART
Vanauley St / Queen St W - SMART,Vanauley St / Queen St W - SMART,7256,43.648437,-79.39838,12,SMARTMAPFRAME,NULL,NULL,Vanauley St / Queen St W - SMART
Frederick St / King St E,Frederick St / King St E,7432,43.651118,-79.369411,23,REGULAR,M5A 4L4,M5A,Frederick St / King St E
Taddle Creek Park,Taddle Creek Park,7131,43.66986,-79.398443,15,REGULAR,NULL,NULL,Taddle Creek Park
Church St  / Wood St,Church St  / Wood St,7089,43.662712,-79.379903,19,REGULAR,NULL,NULL,Church St  / Wood St
Dundonald St / Church St,Dundonald St / Church St,7024,43.66663,-79.38148,36,REGULAR,NULL,NULL,Dundonald St / Church St
University Ave / Gerrard St W (WEST) - SMART,University Ave / Gerrard St W (WEST) - SMART,7634,43.6578449,-79.3899265,18,SMARTMAPFRAME,M5G 2M9,M5G,University Ave / Gerrard St W (WEST) - SMART
